#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Haemonchus contortus	6289	PRJEB506	194485	Animals	Roundworms	283.439	43.2289	GCA_000469685.2	chromosome 1:LS997562.1; chromosome 2:LS997563.1; chromosome 3:LS997564.1; chromosome 4:LS997565.1; chromosome 5:LS997566.1; chromosome X:LS997567.1; mitochondrion mtDNA:LS997568.1	-	7	-	-	2018/09/05	2019/02/20	Chromosome	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA2272274
Pelagomonas calceolata	35677	PRJEB48576	779346	Protists	Other Protists	32.4453	63.6	GCA_918797485.1	-	CAKKNE01	8	16525	16525	2021/11/12	2021/11/12	Contig	Genoscope CEA	SAMEA10271030
Cytauxzoon felis	27996	PRJNA196611	196611	Protists	Apicomplexans	9.10917	31.8	GCA_020283715.1	-	JAIQCW01	360	-	-	2021/10/05	2021/10/05	Contig	NC State University	SAMN02010568
Plasmodium relictum	85471	PRJEB9074	353795	Protists	Apicomplexans	22.6074	18.4009	GCA_900005765.1	chromosome 1:NC_041679.1/LN835296.1; chromosome 2:NC_041680.1/LN835297.1; chromosome 3:NC_041681.1/LN835298.1; chromosome 4:NC_041682.1/LN835299.1; chromosome 5:NC_041683.1/LN835300.1; chromosome 6:NC_041684.1/LN835301.1; chromosome 7:NC_041685.1/LN835302.1; chromosome 8:NC_041686.1/LN835303.1; chromosome 9:NC_041687.1/LN835304.1; chromosome 10:NC_041688.1/LN835305.1; chromosome 11:NC_041689.1/LN835306.1; chromosome 12:NC_041690.1/LN835307.1; chromosome 13:NC_041691.1/LN835308.1; chromosome 14:NC_041692.1/LN835309.1; mitochondrion MIT:LN835311.1; mitochondrion MT:NC_012426.1/; apicoplast API:NC_031964.1/LN835310.1	CVMU01	514	5292	5136	2016/11/15	2016/11/16	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA2385706
Dipylidium caninum	66787	PRJNA453897	453897	Animals	Flatworms	109.012	46.6	GCA_017562135.1	-	QEYB01	1686	-	-	2021/03/22	2021/03/22	Contig	Chinese Academy of Agricultural Sciences	SAMN08993426
Bursaphelenchus mucronatus	6325	PRJNA562094	562094	Animals	Roundworms	73.0538	39.3245	GCA_025436335.1	chromosome 1:CM046355.1; chromosome 2:CM046356.1; chromosome 3:CM046357.1; chromosome 4:CM046358.1; chromosome 5:CM046359.1; chromosome 6:CM046360.1	VUOU01	72	-	-	2022/09/27	2022/09/27	Chromosome	Institute of Zoology	SAMN12634258
Naegleria fowleri	5763	PRJNA772244	772244	Protists	Other Protists	29.5499	36.8823	GCA_008403515.1	plasmid p_rDNA:NW_025407932.1/CM017919.1; mitochondrion MT:NC_021104.1/CM017920.1	VFQX01	83	13854	13816	2019/09/16	2020/01/15	Scaffold	NCBI	SAMN11479966
Andalucia godoyi	505711	PRJNA559352	559352	Protists	Other Protists	20.0886	49.5	GCA_009859145.1	-	VRVR01	66	1012	1027	2020/01/13	2020/01/13	Scaffold	Universite de Montreal	SAMN12535231
Angomonas desouzai	59800	PRJNA203515	203515	Protists	Kinetoplasts	24.2509	49.2	GCA_000482185.1	-	AUXL01	7953	-	-	2013/10/25	2014/08/06	Contig	VCU	SAMN02953865
Steinernema feltiae	52066	PRJNA353610	353610	Animals	Roundworms	121.603	46.5	GCA_007213375.1	-	MQUG01	4678	-	-	2019/07/22	2019/07/22	Contig	Dept of Entomology, College of Agricultural, Human, and Natural Resource	SAMN06017646
Steinernema scapterisci	90986	PRJNA204942	204942	Animals	Roundworms	79.6513	47.9	GCA_000757745.1	-	AZBW01	2864	-	-	2014/09/24	2015/10/01	Scaffold	California Institute of Technology	SAMN03067855
Steinernema glaseri	37863	PRJNA204943	204943	Animals	Roundworms	92.8363	47.2	GCA_000757755.1	-	AZBX01	7510	-	-	2014/09/24	2015/10/01	Scaffold	California Institute of Technology	SAMN03067856
Steinernema monticolum	90984	PRJNA205067	205067	Animals	Roundworms	89.159	41.8	GCA_000505645.1	-	AZHV01	14252	-	-	2013/12/10	2015/10/01	Scaffold	California Institute of Technology	SAMN02953877
Leishmania guyanensis	5670	PRJNA872130	872130	Protists	Kinetoplasts	32.5447	57.8716	GCA_024970365.1	chromosome 1:CP103914.1; chromosome 2:CP103915.1; chromosome 3:CP103916.1; chromosome 4:CP103917.1; chromosome 5:CP103918.1; chromosome 6:CP103919.1; chromosome 7:CP103920.1; chromosome 8:CP103921.1; chromosome 9:CP103922.1; chromosome 10:CP103923.1; chromosome 11:CP103924.1; chromosome 12:CP103925.1; chromosome 13:CP103926.1; chromosome 14:CP103927.1; chromosome 15:CP103928.1; chromosome 16:CP103929.1; chromosome 17:CP103930.1; chromosome 18:CP103931.1; chromosome 19:CP103932.1; chromosome 21:CP103933.1; chromosome 22:CP103934.1; chromosome 23:CP103935.1; chromosome 24:CP103936.1; chromosome 25:CP103937.1; chromosome 26:CP103938.1; chromosome 27:CP103939.1; chromosome 28:CP103940.1; chromosome 29:CP103941.1; chromosome 30:CP103942.1; chromosome 31:CP103943.1; chromosome 32:CP103944.1; chromosome 33:CP103945.1; chromosome 34:CP103946.1; chromosome 35:CP103947.1; chromosome 36:CP103948.1; kinetoplast kinetoplast:CP103949.1	-	36	-	-	2022/09/06	2022/09/06	Complete Genome	University of Missouri	SAMN30439819
Cryptosporidium meleagridis	93969	PRJNA222838	222838	Protists	Apicomplexans	8.9732	31	GCA_001593445.1	-	JIBK01	57	3806	3753	2016/03/17	2018/02/02	Contig	IGS	SAMN02666797
Eimeria necatrix	51315	PRJEB4833	223651	Protists	Apicomplexans	55.0079	51	GCA_000499385.1	-	CBUZ01	3707	8584	8609	2013/10/30	2015/01/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA3138811
Eimeria brunetti	51314	PRJEB4834	223645	Protists	Apicomplexans	66.8902	47.7	GCA_000499725.1	-	CBUX01	8575	8711	8711	2013/10/30	2015/01/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA3138828
Eimeria mitis	44415	PRJEB4835	223652	Protists	Apicomplexans	72.2403	47	GCA_000499745.2	-	CBUT01	15978	10073	10073	2013/10/30	2015/01/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA3138829
Eimeria praecox	51316	PRJEB4836	223646	Protists	Apicomplexans	60.0833	45.4	GCA_000499445.1	-	CBUU01	21348	7635	7635	2013/10/30	2015/01/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA3138814
Onchocerca ochengi	42157	PRJEB1204	261614	Animals	Roundworms	91.6606	29.6	GCA_000950515.2	-	FJNM01	20243	-	-	2016/03/04	2016/03/04	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1034766
Fasciolopsis buski	27845	PRJNA284521	284521	Animals	Flatworms	748.158	41	GCA_008360955.1	-	LUCM01	11829	11837	11837	2019/09/09	2019/09/09	Scaffold	McDonnell Genome Institute	SAMN11554071
Echinococcus multilocularis	6211	PRJEB122	213838	Animals	Flatworms	114.963	42.4	GCA_000469725.3	-	CBLO02	1217	9192	10656	2013/07/31	2015/11/12	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA2271939
Paragonimus westermani	34504	PRJNA454344	454344	Animals	Flatworms	922.85	41.2001	GCA_008508345.1	mitochondrion MT:CM017921.1	QNGE01	30456	12839	12795	2019/09/18	2019/09/18	Scaffold	University of Queensland	SAMN09005564
Romanomermis culicivorax	13658	PRJEB1358	232758	Animals	Roundworms	322.766	37.8	GCA_001039655.1	-	CAQS01	62537	-	-	2014/01/06	2015/01/30	Scaffold	Univeristy of Cologne, Zoological Institute	SAMEA3146285
Toxascaris leonina	59264	PRJNA612651	612651	Animals	Roundworms	284.817	37.6	GCA_022844705.1	-	JAARMF01	49539	-	-	2022/04/08	2022/04/08	Scaffold	Institute of Zoology, Chinese Academy of Sciences	SAMN14379724
Strigomonas galati	1003336	PRJNA203516	203516	Protists	Kinetoplasts	27.235	49.9	GCA_000482125.1	-	AUXN01	7280	-	-	2013/10/25	2014/08/06	Contig	Virginia Commonwealth University	SAMN02953867
Strigomonas oncopelti	5657	PRJNA203518	203518	Protists	Kinetoplasts	24.9629	55	GCA_000482165.1	-	AUXK01	8626	-	-	2013/10/25	2014/08/06	Contig	Virginia Commonwealth University	SAMN02953864
Herpetomonas muscarum	5718	PRJNA203519	203519	Protists	Kinetoplasts	30.8448	58.2	GCA_000482205.1	-	AUXJ01	10264	-	-	2013/10/25	2014/08/06	Contig	Virginia Commonwealth University	SAMN02953863
Crithidia acanthocephali	59798	PRJNA203520	203520	Protists	Kinetoplasts	33.7832	56.2	GCA_000482105.1	-	AUXI01	5199	-	-	2013/10/25	2014/08/06	Contig	Virginia Commonwealth University	SAMN02953862
Salpingoeca rosetta	946362	PRJNA37927	37927	Protists	Other Protists	55.4403	55.5	GCA_000188695.1	-	ACSY01	154	11791	11725	2011/02/09	2013/11/06	Scaffold	Broad Institute	SAMN00013333
Hymenolepis microstoma	85433	PRJEB124	213813	Animals	Flatworms	168.943	36.9168	GCA_000469805.3	chromosome 1:LR215989.1; chromosome 2:LR215990.1; chromosome 3:LR215991.1; chromosome 4:LR215995.1; chromosome 5:LR215993.1; chromosome 6:LR215994.1; mitochondrion 7:LR215992.1	-	7	-	-	2019/03/07	2019/03/07	Chromosome	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA2272183
Elaeophora elaphi	1147741	PRJEB502	226653	Animals	Roundworms	1.48083	56.6	GCA_000499685.1	-	CBVL01	1	-	-	2013/11/05	2015/01/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA3138826
Leishmania turanica	62297	PRJNA192712	192712	Protists	Kinetoplasts	32.32	59.5	GCA_000441995.1	-	ATBU01	336	-	-	2013/07/29	2014/08/04	Scaffold	Kinetoplastid Genomes Consortium	SAMN02212518
Leishmania gerbilli	40285	PRJNA192717	192717	Protists	Kinetoplasts	31.3986	59.6	GCA_000443025.1	-	ATBK01	492	-	-	2013/08/02	2014/08/04	Scaffold	Kinetoplastid Genomes Consortium	SAMN02214423
Albugo candida	65357	PRJEB39673	700909	Protists	Other Protists	38.9616	42.9	GCA_905220665.1	-	CAJNAR01	198	-	-	2021/02/13	2021/02/13	Contig	The John Innes Centre	SAMEA2272664
Hyphochytrium catenoides	42384	PRJEB13950	356932	Protists	Other Protists	61.0267	49.2852	GCA_900088475.1	mitochondrion mitochondria:LT578416.1	FLMG01	4759	18140	-	2016/12/10	2016/12/10	Scaffold	University of Exeter	SAMEA3980475
Angiostrongylus cantonensis	6313	PRJNA350391	350391	Animals	Roundworms	293.307	38.7	GCA_009735665.1	-	MQTX01	26577	10314	10314	2019/12/09	2019/12/09	Scaffold	Sun Yat-sen University	SAMN05943038
Leishmania sp. Ghana 2012 LV757	2803181	PRJNA691536	691536	Protists	Kinetoplasts	35.9535	59.6694	GCA_017918215.1	chromosome 1:CM030468.1; chromosome 2:CM030469.1; chromosome 3:CM030470.1; chromosome 4:CM030471.1; chromosome 5:CM030472.1; chromosome 6:CM030473.1; chromosome 7:CM030474.1; chromosome 8:CM030475.1; chromosome 9:CM030476.1; chromosome 10:CM030477.1; chromosome 11:CM030478.1; chromosome 12:CM030479.1; chromosome 13:CM030480.1; chromosome 14:CM030481.1; chromosome 15:CM030482.1; chromosome 16:CM030483.1; chromosome 17:CM030484.1; chromosome 18:CM030485.1; chromosome 19:CM030486.1; chromosome 20:CM030487.1; chromosome 21:CM030488.1; chromosome 22:CM030489.1; chromosome 23:CM030490.1; chromosome 24:CM030491.1; chromosome 25:CM030492.1; chromosome 26:CM030493.1; chromosome 27:CM030494.1; chromosome 28:CM030495.1; chromosome 29:CM030496.1; chromosome 30:CM030497.1; chromosome 31:CM030498.1; chromosome 32:CM030499.1; chromosome 33:CM030500.1; chromosome 34:CM030501.1; chromosome 35:CM030502.1; chromosome 36:CM030503.1	JAFJZN01	116	8119	8119	2021/04/13	2021/04/15	Chromosome	Lancaster University	SAMN17294115
Leishmania arabica	40284	PRJNA192710	192710	Protists	Kinetoplasts	31.2691	59.2021	GCA_000410695.2	chromosome 1:CM004642.1; chromosome 2:CM004643.1; chromosome 3:CM004644.1; chromosome 4:CM004645.1; chromosome 5:CM004646.1; chromosome 6:CM004647.1; chromosome 7:CM004648.1; chromosome 8:CM004649.1; chromosome 9:CM004650.1; chromosome 10:CM004651.1; chromosome 11:CM004652.1; chromosome 12:CM004653.1; chromosome 13:CM004654.1; chromosome 14:CM004655.1; chromosome 15:CM004656.1; chromosome 16:CM004657.1; chromosome 17:CM004658.1; chromosome 18:CM004659.1; chromosome 19:CM004660.1; chromosome 20:CM004661.1; chromosome 21:CM004662.1; chromosome 22:CM004663.1; chromosome 23:CM004664.1; chromosome 24:CM004665.1; chromosome 25:CM004666.1; chromosome 26:CM004667.1; chromosome 27:CM004668.1; chromosome 28:CM004669.1; chromosome 29:CM004670.1; chromosome 30:CM004635.1; chromosome 31:CM004636.1; chromosome 32:CM004637.1; chromosome 33:CM004638.1; chromosome 34:CM004639.1; chromosome 35:CM004640.1; chromosome 36:CM004641.1	ATBH02	168	-	-	2013/06/11	2016/09/16	Chromosome	Kinetoplastid Genomes Consortium	SAMN02214421
Heterococcus sp. DN1	1140117	PRJNA210954	210954	Protists	Other Protists	60.7427	48.2	GCA_000498555.1	-	AXNI01	21589	-	-	2013/11/22	2014/08/11	Contig	University of Minnesota	SAMN02981563
Plasmodium gaboni	647221	PRJNA329100	329100	Protists	Apicomplexans	20.3855	18.8583	GCA_001602025.1	chromosome 1:NC_031481.1/CM003856.1; chromosome 2:NC_031482.1/CM003857.1; chromosome 3:NC_031483.1/CM003858.1; chromosome 4:NC_031484.1/CM003859.1; chromosome 5:NC_031485.1/CM003860.1; chromosome 6:NC_031486.1/CM003861.1; chromosome 7:NC_031487.1/CM003862.1; chromosome 8:NC_031488.1/CM003863.1; chromosome 9:NC_031489.1/CM003864.1; chromosome 10:NC_031490.1/CM003865.1; chromosome 11:NC_031491.1/CM003866.1; chromosome 12:NC_031492.1/CM003867.1; chromosome 13:NC_031493.1/CM003868.1; chromosome 14:NC_031494.1/CM003869.1; apicoplast Pltd:NW_017385168.1/CM003884.1	LVLB01	833	5382	5354	2016/03/28	2016/10/20	Chromosome	NCBI	SAMN04053639
Trichuris muris	70415	PRJEB126	242666	Animals	Roundworms	111.838	44	GCA_000612645.2	-	CBXJ02	803	-	-	2014/03/25	2019/03/14	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA3138969
Phytophthora fragariae	53985	PRJNA488213	488213	Protists	Other Protists	93.716	53.5	GCA_009729435.1	-	QQOI01	124	-	-	2019/12/04	2020/08/05	Contig	NIAB-EMR Genetics, Genomics and Breeding	SAMN07449687
Phytophthora rubi	129364	PRJNA244739	244739	Protists	Other Protists	78.9735	53	GCA_000687305.2	-	JMRJ02	2387	-	-	2014/05/08	2018/09/19	Scaffold	Shenzhen Entry-Exit Inspection and Quarantine Bureau	SAMN02728490
Trypanosoma grayi	71804	PRJNA258390	258390	Protists	Kinetoplasts	20.9341	53.9	GCA_000691245.1	-	JMRU01	2871	10676	10583	2014/05/15	2022/05/27	Scaffold	NCBI	SAMN02726834
Globodera pallida	36090	PRJNA764088	764088	Animals	Roundworms	113.22	36.9	GCA_020449905.1	-	JAIXHY01	163	-	-	2021/10/13	2021/10/13	Scaffold	Wageningen University and Research	SAMN21907683
Opisthorchis viverrini	6198	PRJNA259756	259756	Animals	Flatworms	620.453	44.2	GCA_000715545.1	-	JACJ01	42216	16356	16356	2014/06/27	2014/09/12	Scaffold	NCBI	SAMN00996407
Plasmodium coatneyi	208452	PRJNA329102	329102	Protists	Apicomplexans	27.6855	39.6541	GCA_001680005.1	chromosome 1:NC_033556.1/CP016239.1; chromosome 2:NC_033557.1/CP016240.1; chromosome 3:NC_033558.1/CP016241.1; chromosome 4:NC_033559.1/CP016242.1; chromosome 5:NC_033560.1/CP016243.1; chromosome 6:NC_033561.1/CP016244.1; chromosome 7:NC_033562.1/CP016245.1; chromosome 8:NC_033563.1/CP016246.1; chromosome 9:NC_033564.1/CP016247.1; chromosome 10:NC_033565.1/CP016248.1; chromosome 11:NC_033566.1/CP016249.1; chromosome 12:NC_033567.1/CP016250.1; chromosome 13:NC_033568.1/CP016251.1; chromosome 14:NC_033569.1/CP016252.1	-	14	5575	5516	2016/07/06	2017/02/02	Chromosome	NCBI	SAMN04571750
Paramecium sexaurelia	65128	PRJNA252373	252373	Protists	Other Protists	68.0166	24.4	GCA_000733375.1	-	JPFM01	543	-	-	2014/07/25	2014/07/25	Scaffold	Indiana University	SAMN02849568
Paramecium biaurelia	65126	PRJNA252371	252371	Protists	Other Protists	76.9631	26.3	GCA_000733385.1	-	JPFL01	2346	-	-	2014/07/25	2014/07/25	Scaffold	Indiana University	SAMN02849567
Phytophthora pisi	1131323	PRJNA746351	746351	Protists	Other Protists	58.8372	54.6	GCA_024679225.1	-	JAIKVJ01	7659	-	-	2022/08/15	2022/08/15	Scaffold	Oregon State University	SAMN20204289
Meloidogyne floridensis	298350	PRJNA340324	340324	Animals	Roundworms	74.846	-	GCA_003693605.1	-	RCFN01	8887	-	-	2018/10/29	2018/10/29	Scaffold	University of Hull	SAMN05712529
Parascaris univalens	6257	PRJNA386823	386823	Animals	Roundworms	242.743	38.8	GCA_002259215.1	-	NINM01	484	-	-	2017/08/18	2017/11/21	Scaffold	University of Colorado School of Medicine	SAMN07135490
Phytomonas sp. EM1	479712	PRJEB1535	238194	Protists	Kinetoplasts	17.7809	48	GCA_000582765.1	-	CAVQ01	138	6381	6381	2014/02/12	2015/01/30	Scaffold	Genoscope CEA	SAMEA3138948
Pythium insidiosum	114742	PRJNA808783	808783	Protists	Other Protists	55.3534	56.9	GCA_022836835.1	-	JAKVDI01	446	-	-	2022/04/08	2022/04/08	Contig	The third affiliated hospital of Sun Yat-sen University	SAMN26105103
Cyclospora cayetanensis	88456	PRJNA481327	481327	Protists	Apicomplexans	44.3636	51.9	GCA_002999335.1	-	PVNT01	738	6043	5793	2018/03/14	2018/03/16	Contig	NCBI	SAMN08618443
Aphelenchoides besseyi	269767	PRJNA834627	834627	Animals	Roundworms	47.4282	42.1	GCA_024699855.1	-	JAMPIQ01	39	12576	11794	2022/08/15	2022/08/15	Scaffold	Academia Sinica	SAMN28081354
Trichinella nelsoni	6336	PRJNA257433	257433	Animals	Roundworms	47.436	33.6	GCA_001447455.1	-	JYDL01	2969	13229	17008	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949482
Trichinella nativa	6335	PRJNA257433	257433	Animals	Roundworms	47.2362	33.5	GCA_001447565.2	-	JYDW01	2483	12838	16586	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949468
Trichinella britovi	45882	PRJNA257433	257433	Animals	Roundworms	51.5048	33.8	GCA_001447585.1	-	JYDI01	7991	16058	20907	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949469
Trichinella zimbabwensis	268475	PRJNA257433	257433	Animals	Roundworms	50.7951	32.9	GCA_001447665.1	-	JYDP01	10839	14764	19269	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949506
Trichinella papuae	268474	PRJNA257433	257433	Animals	Roundworms	46.8445	32.7	GCA_001447755.1	-	JYDO01	2542	11837	16247	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949504
Trichinella murrelli	144512	PRJNA296806	296806	Animals	Roundworms	64.7232	33.8959	GCA_002221485.1	chromosome 1:CM008133.1; chromosome 2:CM008134.1; chromosome X:CM008135.1	LKDY01	510	-	-	2017/07/19	2017/08/09	Chromosome	USDA-ARS	SAMN04105283
Acytostelium subglobosum LB1	1410327	PRJDB1513	266494	Protists	Other Protists	31.003	44.2	GCA_000787575.2	-	BAUZ01	106	12682	12686	2014/11/05	2015/11/03	Scaffold	Acytostelium Genome Consortium	SAMD00019534
Caenorhabditis tropicalis	1561998	PRJNA649308	649308	Animals	Roundworms	81.5748	37.7702	GCA_016735795.1	chromosome I:CM028614.1; chromosome II:CM028615.1; chromosome III:CM028616.1; chromosome IV:CM028617.1; chromosome V:CM028618.1; chromosome X:CM028619.1	JADBCG01	11	-	-	2021/01/21	2021/01/25	Chromosome	UCLA	SAMN15663098
Phytopythium vexans	907947	PRJNA454536	454536	Protists	Other Protists	41.7256	58.2	GCA_003413675.1	-	QLOC01	44	-	-	2018/08/22	2018/08/22	Contig	Chinese Academy of Agriculatural Sciences (IBFC, CAAS)	SAMN09010073
Schizochytrium sp. CCTCC M209059	1573607	PRJNA267643	267643	Protists	Other Protists	39.0897	56.4	GCA_000818945.1	-	JTFK01	322	-	-	2015/01/15	2015/09/02	Scaffold	Nanjing Tech University	SAMN03198951
Babesia divergens	32595	PRJEB6536	259731	Protists	Apicomplexans	9.72541	42.5	GCA_001077455.2	-	CCSG02	141	-	-	2014/09/06	2018/02/24	Scaffold	Spanish National Center for Microbiology	SAMEA2612614
Acanthamoeba polyphaga	5757	PRJNA307312	307312	Protists	Other Protists	49.3537	58.1	GCA_001567625.1	-	LQHA01	18098	-	-	2016/02/24	2019/07/15	Contig	Kingston University	SAMN04378134
Acanthamoeba royreba	32600	PRJEB7687	271768	Protists	Other Protists	79.5441	51.3	GCA_000826365.1	-	CDEZ01	24098	-	-	2015/01/06	2015/01/29	Scaffold	University of Liverpool	SAMEA3111752
Acanthamoeba rhysodes	32599	PRJEB7687	271768	Protists	Other Protists	75.8213	57.9	GCA_000826385.1	-	CDFC01	62836	-	-	2015/01/06	2015/01/31	Scaffold	University of Liverpool	SAMEA3111753
Acanthamoeba divionensis	202919	PRJEB7687	271768	Protists	Other Protists	84.7694	42.7	GCA_000826405.1	-	CDFI01	107714	-	-	2015/01/06	2015/01/31	Scaffold	University of Liverpool	SAMEA3111754
Acanthamoeba lugdunensis	61605	PRJEB7687	271768	Protists	Other Protists	99.4171	59.1	GCA_000826425.1	-	CDFB01	67459	-	-	2015/01/06	2015/01/29	Scaffold	University of Liverpool	SAMEA3111755
Acanthamoeba quina	211522	PRJEB7687	271768	Protists	Other Protists	83.589	59.2	GCA_000826445.1	-	CDFN01	60490	-	-	2015/01/06	2015/02/07	Scaffold	University of Liverpool	SAMEA3111756
Acanthamoeba mauritaniensis	196912	PRJEB7687	271768	Protists	Other Protists	106.836	58.7	GCA_000826465.1	-	CDFE01	67233	-	-	2015/01/06	2015/01/31	Scaffold	University of Liverpool	SAMEA3111757
Acanthamoeba pearcei	65662	PRJEB7687	271768	Protists	Other Protists	115.614	59	GCA_000826505.1	-	CDFJ01	224137	-	-	2015/01/06	2015/01/31	Scaffold	University of Liverpool	SAMEA3111759
Eimeria nieschulzi	44416	PRJNA258495	258495	Protists	Apicomplexans	62.8325	50	GCA_000826945.1	-	JRZD01	33146	-	-	2015/01/21	2015/01/21	Scaffold	Technische Universitaet Dresden	SAMN03102450
Acanthamoeba astronyxis	65658	PRJEB7687	271768	Protists	Other Protists	83.4325	42.9	GCA_000826245.1	-	CDFH01	98248	-	-	2015/01/06	2015/01/31	Scaffold	University of Liverpool	SAMEA3111746
Acanthamoeba culbertsoni	43142	PRJEB7687	271768	Protists	Other Protists	55.5438	50.4	GCA_000826265.1	-	CDFF01	72411	-	-	2015/01/06	2015/01/31	Scaffold	University of Liverpool	SAMEA3111747
Acanthamoeba lenticulata	29196	PRJNA374454	374454	Protists	Other Protists	75.5694	-	GCA_002179805.1	-	NAVB01	10743	-	-	2017/06/08	2017/06/08	Contig	National Yang-Ming University	SAMN06319103
Acanthamoeba healyi	65661	PRJEB7687	271768	Protists	Other Protists	75.3182	58.7	GCA_000826305.1	-	CDFA01	26188	-	-	2015/01/06	2015/01/29	Scaffold	University of Liverpool	SAMEA3111749
Acanthamoeba palestinensis	28015	PRJEB7687	271768	Protists	Other Protists	103.483	59.1	GCA_000826325.1	-	CDFD01	56742	-	-	2015/01/06	2015/01/31	Scaffold	University of Liverpool	SAMEA3111750
Acrasis kona	1008807	PRJNA850442	850442	Protists	Other Protists	44.0204	38.9	GCA_026419775.1	-	JAOPGA01	2039	-	-	2022/11/27	2022/11/27	Scaffold	Uppsala University	SAMN31014988
Oscheius sp. JU1382	2879419	PRJEB51359	813106	Animals	Roundworms	62.2619	39.742	GCA_932521405.1	chromosome I:OW051475.1; chromosome II:OW051476.1; chromosome III:OW051477.1; chromosome IV:OW051478.1; chromosome V:OW051479.1; chromosome X:OW051480.1; mitochondrion MT:OW051481.1	-	7	-	-	2022/03/06	2022/03/21	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7704435
Meloidogyne enterolobii	390850	PRJEB36431	615834	Animals	Roundworms	240.054	30	GCA_903994135.1	-	CAJEWN01	4437	63841	59773	2020/08/18	2020/08/18	Scaffold	INRAE	SAMEA6504944
Strongyloides papillosus	174720	PRJNA531238	531238	Animals	Roundworms	58.2324	25.8	GCA_005656395.1	-	SRSI01	79	-	-	2019/05/22	2019/05/22	Contig	Max-Planck-Institute for developmental biology	SAMN11353024
Parastrongyloides trichosuri	131310	PRJEB515	261588	Animals	Roundworms	42.487	28.4	GCA_000941615.1	-	-	1810	-	-	2014/09/26	2014/09/26	Contig	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1034754
Rhabditophanes sp. KR3021	114890	PRJEB1297	261618	Animals	Roundworms	47.2679	32.1	GCA_000944355.1	-	-	471	-	-	2014/09/24	2014/09/24	Contig	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1709039
Protopolystoma xenopodis	117903	PRJEB1201	261611	Animals	Flatworms	617.345	36.2	GCA_900617795.1	-	CAAALY01	316398	-	-	2019/01/10	2019/01/10	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1034761
Heligmosomoides polygyrus polygyrus	243955	PRJEB57641	902634	Animals	Roundworms	656.625	45.98	GCA_947396885.1	chromosome I:OX377205.1; chromosome II:OX377202.1; chromosome III:OX377203.1; chromosome IV:OX377201.1; chromosome V:OX377204.1; chromosome X:OX377206.1; mitochondrion MT:OX377207.1	CANDYH01	1278	-	-	2022/11/24	2022/11/25	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA10794552
Echinostoma caproni	27848	PRJEB1207	261617	Animals	Flatworms	834.556	39.2	GCA_900618425.1	-	UZAN01	86083	18603	18599	2018/11/30	2018/11/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1034762
Brugia timori	42155	PRJEB4663	261625	Animals	Roundworms	64.9307	29.8	GCA_900618025.1	-	UZAG01	23963	16071	15861	2018/11/30	2018/11/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA2160788
Cylicostephanus goldi	71465	PRJEB498	261574	Animals	Roundworms	173.362	38.2	GCA_900617965.1	-	UYRV01	154509	-	-	2018/11/28	2018/11/28	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1484843
Gongylonema pulchrum	637853	PRJEB505	261580	Animals	Roundworms	322.334	-	GCA_900617915.1	-	UYRT01	128401	-	-	2018/11/28	2018/11/28	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1484838
Rodentolepis nana	102285	PRJEB508	261582	Animals	Flatworms	162.944	35.3	GCA_900617975.1	-	UZAE01	16212	13758	13631	2018/11/30	2018/11/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1034746
